card_id	condition_id	condition_value
127	40	10
208	38	0
241	8	0
250	9	1
251	4	0
252	10	0
257	9	1
3	1	8
38	5	15
65	3	21
96	4	0
104	4	0
110	5	15
153	6	10
157	4	0
193	4	0
218	6	4
220	6	6
222	7	0
223	6	4
224	6	3
32	11	0
272	12	1
279	13	1
12	14	2
161	4	0
281	14	2
142	4	0
317	15	1
309	15	1
314	15	2
114	4	0
318	16	1
319	18	1
322	18	1
329	18	1
203	9	1
348	19	10
354	5	15
355	5	15
356	20	4
357	2	15
358	5	15
334	14	2
66	6	2
366	14	2
378	5	15
5	21	5
390	22	4
392	5	15
393	5	15
412	23	1
417	24	2
424	26	2
426	27	1
401	25	3
422	30	0
431	32	1
428	33	1
410	34	1
407	35	0
399	36	0
396	37	0
128	5	15
437	39	1
240	41	5
